,白话文,文言文
1588,十八日，李成梁出塞袭击把兔儿炒花，取得大胜。,己丑，李成梁出塞袭把兔儿炒花，大破之。
1589,当时泗水忽然枯竭，船只不能前进。,时泗水暴竭，船不得进。
1590,施德于人称为圣人，施财于人称为贤人。,以德分人谓之圣，以财分人谓之贤。
1591,魏忠贤批评他矫揉造作，悲观厌世，就剥夺了他的官籍。,忠贤责以矫情厌世，削其籍。
1592,为甚么呢？,所以然者。
1593,已经能够救度边罪的品行，便是大智大慧之士。,已得度边行，是为大智士。
1594,用来装丹砂的容器会变成红色，用来装漆的容器会变成黑色。,丹之所藏者赤，漆之所藏者黑。
1595,因此之故，一位善男子，其所有的钱财，能自称量，能等入等出。这叫做正命具足。,是故。善男子所有钱财能自称量。等入等出。是名正命具足。
1596,况且白圭本人也曾经负责此事，今天这件事又是白圭本人所遗留下来的。,且圭固尝身任其事，今日之事又圭所遗。
1597,沙门应当时时遵循二百五十条大戒，以四真谛做为修行的法则。,常行二百五十戒，为四真道行。
1598,唯愿为我们讲说无觉、无观的第二禅道吧！,唯愿为我说无觉、无观第二禅道。
1599,于是良玉晋升做了平贼将军。,遂拜平贼将军。
1600,“还不如做个阿罗汉，可以快速断除生死轮回之苦，其修行功夫也很容易做到。”,“不如作阿罗汉，速断生死，其功甚易。”
1601,使身体朝着天边的方向行走，即使行走万里也不会逃脱到天外。,持身随天，万里不逸。
1602,或又梦见,寻复更梦。
1603,没有不想安全的，但不久就危险了；,莫不欲安，俄则危矣；
1604,裴楷陈述三王五帝的风范，接着叙述汉魏盛衰的原因。,楷陈三五之风，次叙汉魏盛衰之迹。
1605,六，大众集会的庄严，是由于能普遍摄受大众集会，使他们心生欢喜；,众会庄严，普摄众会皆令欢喜故；
1606,秋七月初四，荆王赵𫖳逝世。,秋七月戊申，荆王𫖳薨。
1607,天柱倾颓，人民鬼神悲怆，幸皇天爱护，火德复辉。,天维陵弛，民鬼惨怆，赖皇干眷命，炎德复辉。
1608,就让他们共同拿出一头羊，在齐国的神社前立誓缔约，两个人都答应了。,乃使之人共一羊，盟齐之神社，二子许诺。
1609,十六日，设置医学。,壬辰，置医学。
1610,有所利益的事。,有所利益。
1611,若果然是这样，月亮初升之时以及已然不圆之后，为什么看着不圆呢？,若审然者，月初生之时及既亏之后，何以视之不员乎？
1612,善男子，这种方式叫作第一布施，这在所有布施中最为尊贵，因为这是以法供养诸如来的缘故。,善男子，是名第一之施，于诸施中最尊最上，以法供养诸如来故。
1613,万庶之物众多而杂乱，全都得以寄托性命。,庶物蠢蠢，咸得系命。
1614,莽瑞体自认为自己起事时势力孤单微小，而现有了众多的军队，各部落都听从自己的号令，中国还禁绝与自己往来，于是谋划向边境内入侵，便派线贵到陇川去召土官多士宁。,瑞体自以起孤微，有兵众，威加诸部，中国复禁绝之，遂谋内侵，乃命缐贵趣召陇川土官多士宁。
1615,后来舆茎题、茎逊共同侍候，亘堕说：“太子最近入朝，稍有长进，你们可一起去，大概讲讲人世间事。”,后与荀𫖮、荀勖同侍，帝曰：“太子近入朝，差长进，卿可俱诣之，粗及世事。”
1616,国忠已作为宰臣主管选拔官员，上奏选拔日期便决定完毕，不再增加拟名的时间。,国忠既以宰臣典选，奏请铨日便定留放，不用长名。
1617,那家主人还嫌少。,其主犹以为少。
1618,愿我身体的血肉骨髓充满阿僧祇世界，心中毫无顾恋地作为布施之用。,愿令阿僧祇世界己身血肉及以骨髓充满其中，心无顾恋，持用布施；
1619,英雄豪杰所追求的，大抵与守义之士的思想不同吧？,夫豪雄之所趣舍，其与守义之心异乎？
1620,这些天子在他们住的宫殿中舍弃了五欲之乐，来听这部《金光明经》，听经之后，对这部经生起了至诚敬信，能够像经中说的那样修行；,以是天子于所住处舍五欲乐，故来听是《金光明经》，既闻法已，于是经中净心殷重，如说修行；
1621,于是乎，所有的菩萨都各自向佛世尊叙说了往事因缘，描述了维摩诘的所行所言，纷纷表示不敢去他那里探望病情。,如是诸菩萨，各各向佛说其本缘，称述维摩诘所言，皆曰：“不任诣彼问疾。”
1622,由此可见，肯定有这第八识。,故知定有此第八识。
1623,柘城叛贼师尚诏造反，攻陷归德。,柘城贼师尚诏反，陷归德。
1624,偶然遇到六祖大师的弟子玄策来拜访，就与他相谈甚笃。,偶师弟子玄策相访，与其剧谈。
1625,穆宗即位以后才给他恢复官职，谥文懿。,穆宗即位，复官，谥文懿。
1626,立即在市杀戮，枭首到边关示众，他的妻子流放二千里。,即戳于市，枭其首示边，妻子流二千里。
1627,勇猛精进地教化成熟众生；,勇猛精进，教化成熟一切众生；
1628,不久焦琏的部下官兵不和，一哄而散，桂林城几次差点被打下来。,既而琏兵主客不和，噪而去，城几破者数矣。
1629,萧鲕还命令沈重在合欢殿讲解《周礼》。,察又令重于合欢殿讲周礼。
1630,“魏文侯派乐羊为将，进攻中山国，三年就灭掉了中山。,“魏文侯令乐羊将，攻中山，三年而拔之。
1631,你所做的为不是！,汝所为非。
1632,国家的安置，并不是所说的边界一类，而是走什么样的治国之道，任用什么样的人来治理国家。,彼国错者，非封焉之谓也，何法之道，谁子之与也。
1633,攻克太平，击败并擒获陈野先，平定溧阳、溧水，攻下集庆、镇江，邓愈都有功劳。,克太平，破擒陈野先，略定溧阳、溧水，下集庆，取镇江，皆有功。
1634,假如夸大事实，虚报功捷，效法当年王肃做法，其罪更大。,脱复高曳长缣，虚张功捷，尤而效之，其罪弥甚。
1635,佛命阿难：,佛告阿难：
1636,饶州刺史陈儒反叛，攻破衢州。,饶州刺史陈儒陷衢州。
1637,“榛，像梓树；果实像小的栗子。”,“榛，似梓实如小栗。”
1638,为什么现见空花乱舞，乃为翳眼？必见碧空万里，才称得上是清明眼呢？！,云何晴空号清明眼？
1639,二十四日，因两淮各庄归正人安居归业，徐子寅等得到奖赏不等。,丁未，以两淮诸庄归正人安业，徐子寅等行赏有差。
1640,任职期满后回朝，被百姓所怀念。,秩满还朝，为百姓所恋。
1641,李灵曜叛乱时，田承嗣派侄儿田悦去援助他，李忠臣与诸军大败田悦等人，汴州平定。,李灵曜之叛，田承嗣使侄悦援之，忠臣与诸军大破悦等，汴州平。
1642,就是说的这个。乱世却不是这样：刑法超过罪行，爵禄奖赏超过德行，按照家族连坐来定罪，根据家世出生来举拔贤人。因此一旦有一个人犯了罪，父亲母亲妻子三族里的人都要诛杀，即使有个德行如舜一般的人在里面，也逃不了遭受同样的刑罚。这就是按照家族来定罪。,此之谓也。乱世则不然：刑罚怒罪，爵赏逾德，以族论罪，以世举贤。故一人有罪，而三族皆夷，德虽如舜，不免刑均，是以族论罪也。
1643,一切众生实际上都成就了不可思议定，为什么呢？,一切众生实成就不可思议定。何以故。
1644,“道不明，是由于邪说干扰。”,“道不明，邪说害之也。”
1645,有原则性分歧的叫非之异，有不同观点的叫不然之异。,有非之异，有不然之异。
1646,世尊，菩萨们修习圆满心智的方便法门总共有多少种类型呢？,世尊，此诸方便，一切菩萨，于圆觉门，有几修习？
1647,时聘时对来聘的卿以礼相待以与诸侯建立友好的关系，殷覜时通过命以政事和下达禁令以消除诸侯国的恶行。,时聘以结诸侯之好，殷覜以除邦国之慝。
1648,迅猛的戟砸到头上，那么就顾不上十指被砍断。,拔戟加乎首，则十指不辞断。
1649,魏、楚两国联合，一定会窥探齐、秦两国的动静，齐、秦两国联合必然要图谋魏国、楚国。,晋、楚合必伺齐、秦，齐、秦合必图晋、楚。
1650,臣的愚见认为该废除现在的亲庙，模仿二帝的旧典，希望下诏有司广泛听取意见。”,臣愚谓宜除今亲庙，以则二帝旧典，愿下有司博采其议。”
1651,刑部尚书徐兆魁治理狱案，凡是魏忠贤所恨的人，便判以重刑。,刑部尚书徐兆魁治狱，视忠贤所怒，即坐大辟。
1652,怎敢苟且偷生，来枉公法。”,何敢苟生，以枉公法！”
1653,诏令门下侍郎、平章事令狐謋代理吏部尚书。,诏门下侍郎、平章事令狐绹摄冢宰。
1654,《摄大乘论》卷一也这样说：,《摄大乘论》亦作是说：
1655,当初，安定梁景、敦煌刘肃都凭着家族的关系，从小与张天锡友好亲昵。,初，安定梁景、敦煌刘肃并以门胄，总角与天锡友昵。
1656,又有一种人教人坐禅，要求时时注意守住自己的本心，保持绝对的安静，身体不动，长久不起，从这儿开始建立成佛的功德。,又有人教坐，看心观静，不动不起，从此置功。
1657,岂可为了争夺佛舍利，而共相残害呢？,宁可诤佛舍利共相残害。
1658,第十七种大人相，叫作一切如来的解脱云。这种大人相以清净妙宝庄严，此宝放出的光明能庄严诸佛的师子座，示现诸佛色相及诸佛刹海的无量佛法。,次有大人相，名一切如来解脱云，清净妙宝以为庄严，放大光明庄严一切佛师子座，示现一切诸佛色像及无量佛法诸佛刹海，是为十七。
1659,纵使有许多世间的智慧，能出现定念正心的短暂境界，但如果不断杀心，必定会堕落于神鬼之道。,纵有多智，禅定现前，如不断杀，必落神道。
1660,言辞诚信则志同道合，正义相感则心齐力协，粉骨碎身，决不回头。,言诚则志合，义感则心齐；粉骨糜躯，决无所顾。
1661,并极尽装饰，四周设置有栏杆，四面悬挂着宝铃，金绳交错，,庄校严饰，周匝栏楯，四面悬铃，金绳交络。
1662,与其兄戚维感情深厚，戚维死，戚纶听到告丧，十分悲痛以致数日不吃任何东西。,事兄维友爱甚厚，维卒，讣闻，哀恸不食者数日。
1663,及至再次平定河朔的叛逆，政令才又回归于帝王手中。,洎再平河朔，归命辕门。
1664,此支，乃能成就梵行。,此支成就梵行。
1665,如果众生是因贪恋忆想而造下罪业的，那么这种人罪业盈满之后，就会遇到衰败的东西而成其形，这叫做厉鬼。,贪忆为罪，是人罪毕，遇衰成形，名为厉鬼。
1666,河南尹达奚繤叛变投降安禄山。,河南尹达奚珣叛降于安禄山。
1667,贫穷是读书人的常情；,贫者，士之常也；
1668,这年夏天，山东、河北二十多州大旱灾，饿死和瘟疫死亡的人数千，皇上派使者赈济抚恤他们。,是夏，山东、河北二十余州旱，饥馑疾疫死者数千计，遣使赈恤之。
1669,“因为听了你在树下念诵佛经的福报，使我得以不再为鸟，成为天上的神人。”,“蒙道人诵经恩福故，得免此鸟身，得为天人。”
1670,这时，文殊师利菩萨说了这首偈颂之后，又告诉善财童子：,尔时，文殊师利菩萨说此颂已，告善财童子言：
1671,把它移植到肥沃的土壤中，必定成为好苗。,移植丰壤，必成嘉竖。
1672,马上召王竑回来任兵部尚书，李秉为左都御史。,即召竑为兵部尚书，秉为左都御史。
