白话文,文言文,文言文_较差
不响应，不行动，那么上下就无法相互依靠。,不应不动，则上下无以相有也。,不应不動，上下就不能互相依存了。
教学品大意是：指引人们如何行动，,教学品者，导以所行。,教学生品行，用行动引导他们。
这年，因李训、郑注起事失败，杀死了很多大臣，朝廷内外人心惶惶。,是岁，训、注败，多诛公卿，中外危惴。,此年，训、注被打败，杀了很多公卿，朝廷内外都害怕得发抖。
高藏派使者来吊唁。,藏遣使者奉慰。,藏派人去慰问一下。
臣前面所陈述的，都不过是枝叶。,臣前所陈，枝叶而已。,臣前讲的，只是些细枝末节而已。
楚庄王第二天早晨上朝时，把樊姫这番话告诉了沈令尹，沈令尹自己让出职位，推荐孙叔敖为令尹。,庄王旦朝，以樊姬之言告沈令尹，令尹避席，而进孙叔敖。,庄王早朝，把樊姬说话告诉沈令尹，令尹离开座位，然后推荐孙叔敖。
再三规劝后，此比丘如能够舍弃邪法，是如法的选择。,乃至三谏时，舍者善。,到三谏时，那舍者还行。
现在形势危急，请朝廷同意她的请求。”,势危急，乞从其请。”,情势危险急迫，乞求答应他请求。
行义也是如此，能演说的就演说，能讲书的就讲书，能做事的就做事，然后义事才可以办成。”,为义犹是也，能谈辩者谈辩，能说书者说书，能从事者从事，然后义事成也。”,为义还是这样，能讲的来讲，能说书的就说书，能做事的就做事，然后义事才能成。
‘请父母遵守承诺允许我出家。,‘愿尊先许听我出家。,愿你尊重先前答应我的，让我出家。
她哥哥们每读经传，往往注意提出问题。,诸兄每读经传，辄下意难问。,诸兄每次读经书，总是有很多问题要问，真是麻烦。
剩下的就是根本的无明烦恼。,即是无明住地。,这就是无明住地的地方。
杀刘文静则是议定的法律而不遵从；,诛文静则议法不从，,杀文静则讨论法律不听从，
萧衍相信了他的诡计，就把长江西边四个州割让给侯景，封他为寿阳王，让他遣使朝贡。,衍信之，乃割江西四州授景，封为寿阳王，遣其朝贡。,信了他的话，就割了江西四个州给他，封他为寿阳王，叫他来朝贡。
鲁哀公说：“可以说给我听听吗？”,公曰：“可得而闻乎？”,公曰：“能说说吗？”
卫懿公的时候，有一个名叫弘演的臣子，接受君主的命令出使外国。,卫懿公之时，有臣曰弘演者，受命而使。,卫懿公那会儿，有个大臣叫弘演，去办事的时候接了个命令。
这班人都赞同响应。,诸豪杰皆许诺。,众豪杰都答应了。
须菩提，如果有人用装满无量阿僧祇世界的七种珍宝，用来进行布施；,须菩提，若有人以满无量阿僧祇世界七宝，持用布施。,须菩提，若有人拿满满的无量阿僧祇世界的七宝来做布施。
为善的享受福报，为恶的遭受祸殃。,为善受福，为恶受殃。,做好事得福气，做坏事有灾殃。
婆罗堕听闻其语后，,婆罗堕闻其语已。,婆罗堕听到他说完这些。
于是郭解就被勒令搬迁了。上路的时候，当地头面人物都来送行，出资至一千多万钱。,解家遂徙。诸公送者出千余万。,解家搬家了。很多大佬送了上千万。
杨国忠一向心里仇视李林甫，李林甫死尚未入葬时，杨国忠就暗示安禄山揭发李林甫，安禄山就要阿布思的降将入朝，告发李林甫曾与阿布思约为父子，准备叛乱。,国忠素衔林甫，及未葬，阴讽禄山暴其短。禄山使阿布思降将入朝，告林甫与思约为父子，有异谋。,国忠平时就讨厌林甫，等到林甫还没下葬，就暗中让禄山揭发他的坏处。禄山叫阿布思那个投降的将军进京，说林甫跟阿布思约好要做父子，有反叛的阴谋。
真这样，又何必说上面的是四种人为依止处的话呢？,如是何必说是四人为依止处？,如是何必说四人是依止处？
卢子略驻扎在城南，杜天合驻扎在城北，杜僧明和周文育分别占据城东和城西，当地小官都纷纷响应，一天之内，聚集了数万人。,子略顿城南，天合顿城北，僧明、文育分据东西，吏人并应之，一日之中，众至数万。,子在城南略地，天在城北也顿，僧明和文育分在东西，吏人们都响应他们，一天之内，人数达到数万。
侯景之乱时，程灵洗聚集众人占据黟县、歙县抵抗侯景。,侯景之乱，灵洗聚徒据黟、歙以拒景。,侯景乱时，灵洗聚人把黟、歙，对抗侯景。
王浚于是做了几十个大筏子，也百余步见方，用草扎成人形，披盔甲拿兵器，命令水性好的人乘筏子走在前面，筏子遇上铁锥，铁锥就刺到筏子上漂走了。,濬乃作大筏数十，亦方百余步，缚草为人，被甲持杖，令善水者以筏先行，筏遇铁锥，锥辄著筏去。,浚做了很多大筏子，每个都有一百多步大，用草扎成人形，穿上铠甲拿著棍子。让会游泳的人先划著筏子走，筏子碰到铁锥，锥子就粘在筏子上了。
此人或是手执火光，手撮其光，分在所听四众头上，这些人头上火光，都有数尺长，也无热的感觉，并不焚烧，或是在水面上行走，如在平地上走一样，或是安坐在空中不动，或是钻入瓶内，或是处在囊中，或是穿墙入壁，毫无障碍，唯于刀兵，不能自在。,是人或复手执火光，手撮其光，分于所听四众头上，是诸听人顶上火光皆长数尺，亦无热性，曾不焚烧，或水上行如履平地，或于空中安坐不动，或入瓶内，或处囊中，越牖透垣，曾无障碍，唯于刀兵不得自在。,此人有时手拿火光，用手撮火，分开照在众人头上，众人头顶火光皆数尺长，无热性，不会焚烧。或在水面如走路，或在空中坐着不动，或入瓶内，或入囊中，穿墙越窗无障碍，唯独遇到刀兵不能自由。
因为没有种子后才生起，这是《集论》说的；,无种已生，《集论》说故；,无种已经生了，《集论》说的缘故。
食后，洗钵、澡漱完毕后，质多罗长者乃敷一卑，在于上座们之前面坐下听法。,食已，洗钵、澡漱毕，质多罗长者敷一卑床，于上座前坐听法。,吃完饭，洗了碗，漱了口，质多罗长者铺了个小床，在上座前面坐下听法。
赤水过去四十里是白岩，再过六十里是层台，又过六十里是毕节。,四十里为白岩，六十里为层台，又六十里为毕节。,四十里到白岩，六十里是层台，再六十里到毕节。
“世尊，如果一切事物都是空的，没有实体，为什么分别有善与不善等等呢？”,“世尊，若诸法皆空，云何分别有善不善等？”,世尊，若一切法皆空，为啥还要分善不善呢？
从前圣王赏赐功臣必定在祖庙里，杀戮罪人则必定在神社里。,故圣王其赏也必于祖，其僇也必于社。,故圣王赏必在祖，僇必在社。
戊子，月亮冲犯牵牛座中央大星。,戊子，月犯牵牛中央大星。,戊子日，月亮冲撞牵牛座中间的大星。
鲁，是贾谧的封国。,鲁，贾谧国也。,鲁者，贾谧之国也。
然后用古时候猛虎渡河、飞蝗越境的故事，来敕诫各州县的官员。,然后以古者猛虎渡河、飞蝗越境之事，戒敕州县官吏。,然后用古时候猛虎过河、飞蝗过境的事情，警告州县官。
我现在要告诉大家。,我今当说。,我现在应该说。
应日日供应上妙而丰富的三餐，提供衣、食、住、医药等方便，尽力满足来者的一切需求。,日日三时供养，日食三两金，百味饮食，床座医药，供事法师，一切所须，尽给与之。,日日三餐供养，每日吃三两金，各种好吃的，床铺医药，照顾法师，所有需要的，全给与之。
现在我对您说，睁眼就能看明白的，就称为能见到的外表；,今我对佛，开眼见明，名为见外。,今我对着佛，睁眼看见光明，叫做见外。
“不仅聂政这么勇敢，他姐姐也是个烈女啊。”,“非独政之能，乃其姊者亦列女也。”,不是只有他能做官，他姐姐也是个女人。
宋子回答说：“人的本性，是想要这些的。”,曰：“人之情欲是已。”,曰：“人之感情欲是自己。”
举行射箭比赛就负责收取射在侯处的矢。,射则取矢。,射了就拿箭。
是哪十种呢？,何等为十？,何为十等？
天下的祸患是什么？,天下之害何也？,天下害是啥？
帝叹息道“：你说的是对的。”,帝叹息曰：“卿言是也。”,皇帝叹气说道：“你说的是对的。”
“这是个君子，我要亲近他。”,“此君子也，近之。”,这是个君子，靠近他。
东昌之战，成祖陷入盛庸、铁铉军的重重包围之中，张玉战死。,东昌之战，盛庸、铁铉围成祖数重。张玉战死。,东昌之战，盛庸、铁铉围成祖好几层。张玉打仗死了。
萧颖胄，乃是赤斧的儿子。,颖胄，赤斧之子。,颖胄，是赤斧儿子。
时世阻滞，政道衰颓，周平王东迁，诸侯纷争；萱魏当道，三国鼎立。,时逢稽浸，道接陵夷，平王东迁，星离豆剖，当涂驭寓，瓜分鼎立。,时逢乱世，道遇衰败，平王东迁，国破家亡，当涂掌权，分裂鼎立。
我现在再三的皈依于佛，皈依于法，皈依于僧，唯愿听允我在于正法当中，作为一位优婆塞！自今以后，尽形寿不杀生、不偷盗、不耽淫、不欺诳、不饮酒。,我今再三归依佛，归依法，归依僧，唯愿听我于正法中为优婆塞，自今已后，尽形寿不杀、不盗、不淫、不欺、不饮酒。,我今归依佛，归依法，归依僧，希望你听我入正法为优婆塞，从现在开始，到死都不杀、不偷、不淫乱、不骗人、不喝酒。
乡人称他住的地方为孝顺里。,邑人号其居为孝顺里。,乡里的人叫他住的地方为孝顺里。
富弼说：“自古以来只有唐高祖向突厥借用军队，当时赠送东西，或许称作献纳。,弼曰：自古唯唐高祖借兵于突厥，当时赠遗，或称献纳。,弼曰：自古以來，只唐高祖向突厥借過兵，那个时候送东西，或者说是献纳。
乐我君之恩惠兮，千里振羽来翔。,乐我君惠，振羽来翔。,我君恩惠，鸟儿乱飞来。
修建一寺，移民有数百家，花费国库几十万两银子，这是很不应当的。,一寺立，而移民居且数百家，费内帑且数十万，此舛也。,一寺庙建起，几百家移民住进去，花费几十万帑银，这事错了。
现在采用太尉长孙无忌、仆射于志宁、侍中许敬宗等人的《奉和雪诗》作为合唱歌词，共十六段，已全部教授排练完毕，并且都还和谐。”,今取太尉长孙无忌、仆射于志宁、侍中许敬宗等《奉和雪诗》以为送声，合十六节，今悉教讫，并皆合韵。”,今拿太尉长孙无忌、仆射于志宁、侍中许敬宗等《奉和雪诗》做送声，一共十六节，现在都教完了，韵脚也都对上了。
